"player","position","team","age","goals_assists_per90","cards_red","cards_yellow","sca","passes_completed","average_shot_distance"
"Ismaila Sarr","FW","Senegal",24,0.26,0,0,15,52,16.5
"Ismaël Koné","MF","Canada",20,0,0,0,2,96,NA
"Issam Jebali","FW","Tunisia",30,0,0,0,5,25,10.4
"Ivan Ili?","MF","Serbia",21,0,0,0,2,19,NA
"Ivan Periši?","FW","Croatia",33,0.54,0,0,17,202,20
"Iñaki Williams","FW","Ghana",28,0,0,0,2,29,20.1
"Jack Grealish","FW","England",27,1.05,0,0,5,48,8.8
"Jackson Irvine","MF","Australia",29,0,0,2,3,103,9.3
"Jackson Porozo","DF","Ecuador",22,0,0,0,0,39,15
"Jakub Kami?ski","MF","Poland",20,0,0,0,3,37,10.1
"Jakub Kiwior","DF","Poland",22,0,0,1,1,174,10.5
"Jamal Musiala","MF","Germany",19,0.35,0,0,22,85,14.5
"Jamie Maclaren","FW","Australia",29,0,0,0,1,7,NA
"Jan Bednarek","DF","Poland",26,0,0,0,0,6,NA
"Jan Vertonghen","DF","Belgium",35,0,0,0,1,238,10.4
"Jason Cummings","FW","Australia",27,0,0,0,0,4,NA
"Jawad El Yamiq","DF","Morocco",30,0,0,0,1,146,12.4
"Jean-Charles Castelletto","DF","Cameroon",27,1,0,0,1,66,1.1
"Jeong Woo-yeong","MF","Korea Republic",23,0,0,0,1,12,24.4
"Jeremy Doku","MF","Belgium",20,0,0,0,3,8,NA
"Jeremy Sarmiento","MF","Ecuador",20,0,0,0,3,23,14.5
"Jerome Ngom Mbekeli","MF","Cameroon",24,0,0,0,1,1,NA
"Jesper Lindstrøm","MF","Denmark",22,0,0,0,2,36,16.2
"Jesús Ferreira","FW","United States",21,0,0,0,1,16,NA
"Jesús Gallardo","DF","Mexico",28,0,0,0,7,93,15.1
"Jewison Bennette","MF","Costa Rica",18,0,0,0,0,11,28.6
"Jhegson Méndez","MF","Ecuador",25,0,0,2,3,128,NA
"Joachim Andersen","DF","Denmark",26,0.33,0,0,5,198,18.1
"Joakim Mæhle","DF","Denmark",25,0,0,0,4,119,28.9
"Joe Allen","MF","Wales",32,0,0,0,1,30,24.3
"Joe Morrell","MF","Wales",25,0,0,0,0,12,NA
"Joe Rodon","DF","Wales",25,0,0,1,2,152,NA
"Joel Campbell","FW","Costa Rica",30,0,0,1,3,104,21.1
"Johan Venegas","FW","Costa Rica",34,0,0,0,1,11,NA
"John Stones","DF","England",28,0,0,0,3,435,9.6
"Jonas Hofmann","FW","Germany",30,0,0,0,4,16,11.5
"Jonathan David","FW","Canada",22,0,0,0,1,41,14.1
"Jonathan Osorio","MF","Canada",30,0,0,1,5,52,23.7
"Jordan Ayew","FW","Ghana",31,0.66,0,0,7,35,21.2
"Jordan Henderson","MF","England",32,0.33,0,0,8,137,18.5
"Jordan Morris","FW","United States",28,0,0,0,0,1,NA
"Jordan Pickford","GK","England",28,0,0,0,2,126,NA
"Jordan Veretout","MF","France",29,0,0,0,0,33,NA
"Jordi Alba","DF","Spain",33,0.68,0,0,11,328,26.6
"Jorge Eduardo Sánchez","DF","Mexico",25,0,0,1,5,69,18.3
"Josh Sargent","FW","United States",22,0,0,0,2,29,14
"Joshua Kimmich","MF","Germany",27,0,0,1,20,226,25.9
"Josip Juranovi?","DF","Croatia",27,0.15,0,0,15,318,18.1
"Josip Staniši?","DF","Croatia",22,0,0,0,0,36,28.6
"Josip ?utalo","DF","Croatia",22,0,0,0,0,62,NA
"José Cifuentes","MF","Ecuador",23,0,0,0,0,33,29.4
"José María Giménez","DF","Uruguay",27,0,0,1,1,141,13.2
"João Cancelo","DF","Portugal",28,0,0,0,2,221,15.4
"João Félix","FW","Portugal",23,0.82,0,1,7,91,18.6
"João Mário","FW","Portugal",29,0,0,0,2,37,NA
"João Palhinha","MF","Portugal",27,0,0,0,3,26,33.2
"Joško Gvardiol","DF","Croatia",20,0.13,0,0,4,464,16.8
"Juan Foyth","DF","Argentina",24,0,0,0,0,3,NA
"Juan Pablo Vargas","DF","Costa Rica",27,1,0,0,2,19,3.9
"Jude Bellingham","MF","England",19,0.43,0,0,17,235,12.4
"Jules Koundé","DF","France",24,0,0,1,5,252,19.9
"Julián ?lvarez","FW","Argentina",22,0.78,0,0,10,93,12.2
"Jung Woo-young","MF","Korea Republic",33,0,0,2,7,178,25.1
